Andrew Flintoff,31,116.98
Murali Vijay,15,89.55
Jesse Ryder,11.2,114.29
Pinal Shah,17.67,103.92
Shreevats Goswami,26.5,88.33
Johan Botha,23.5,117.5
Yashpal Singh,11.75,71.21
Vinay Kumar,9.4,106.82
George Bailey,22.5,115.38
Luke Pomersbach,10.25,83.67
Shikhar Dhawan,10,88.89
Dimitri Mascarenhas,9.75,100
Moises Henriques,19,95
Daniel Vettori,17,106.25
Munaf Patel,11,126.92
Piyush Chawla,6.2,86.11
Wilkin Mota,6,62.5
Chaminda Vaas,30,142.86
Brett Lee,14,82.35
Amit Mishra,8.67,130
Ramesh Powar,23,104.55
Ryan Harris,21,116.67
Murali Kartik,-,105
Farveez Maharoof,21,100
Joginder Sharma,20,111.11
Yogesh Nagar,20,100
Shadab Jakati,20,133.33
Rajesh Bishnoi,6.33,111.76
VVS Laxman,3.8,57.58
Niraj Patel,9,47.37
Yogesh Takawale,18,81.82
Balachandra Akhil,8.5,113.33
Angelo Mathews,16,123.08
Mahesh Rawat,-,84.21
Sachin Tendulkar,47.54,132.62
Jacques Kallis,47.67,115.79
Suresh Raina,47.27,142.86
Sourav Ganguly,37.92,117.66
Murali Vijay,35.23,156.85
Mahela Jayawardene,43.9,147.32
Andrew Symonds,30.64,125.81
Saurabh Tiwary,29.93,135.6
Rohit Sharma,28.86,133.77
Naman Ojha,31.42,132.28
Robin Uthappa,31.17,171.56
Kumar Sangakkara,29.75,138.91
S Badrinath,32.36,117.49
Virender Sehwag,25.43,163.3
Ambati Rayudu,27.38,144.72
Matthew Hayden,21.62,124.01
Yusuf Pathan,27.75,165.67
Virat Kohli,27.91,144.81
Tirumalsetti Suman,34.11,119.46
Chris Gayle,32.44,158.7
Adam Gilchrist,18.06,156.22
MS Dhoni,31.89,136.67
David Warner,28.2,147.64
Michael Lumb,25.27,144.79
Dinesh Karthik,21.38,117.3
Gautam Gambhir,30.78,127.65
Irfan Pathan,34.5,148.39
Kieron Pollard,22.75,185.71
Herschelle Gibbs,26.7,113.62
Rahul Dravid,28.44,128.64
Yuvraj Singh,21.25,128.14
Manish Pandey,20.75,110.18
Ravi Bopara,31,115.89
Manoj Tiwary,26.33,127.42
Kevin Pietersen,59,150.32
Angelo Mathews,33.29,126.63
Manvinder Bisla,21.8,122.47
Paul Collingwood,40.6,130.13
Albie Morkel,24.75,151.15
Shikhar Dhawan,19.1,112.35
Shane Watson,37,162.28
Abhishek Jhunjhunwala,20.33,110.24
Adam Voges,45.25,126.57
Mohnish Mishra,15.09,115.28
Faiz Fazal,20.5,106.49
Jean-Paul Duminy,31.4,119.85
Mithun Manhas,39.25,105.37
Shaun Marsh,49,128.95
Cheteshwar Pujara,30.5,106.09
Owais Shah,57.5,121.05
Brendon McCullum,28.5,103.64
Rajagopal Sathish,16,116.67
AB de Villiers,15.86,93.28
Paras Dogra,13.38,100.94
Harbhajan Singh,26.25,166.67
Brad Hodge,24.75,110
David Hussey,23.5,109.3
Ross Taylor,22,117.33
Kedar Jadhav,25.33,135.71
Parthiv Patel,18,91.14
Wriddhiman Saha,22.33,126.42
Ryan McLaren,22,95.65
Andrew McDonald,-,125
VVS Laxman,12.8,106.67
Anirudh Singh,15.75,95.45
Piyush Chawla,12.4,103.33
Dwayne Bravo,8.71,115.09
Abhishek Nayar,29,113.73
Abhishek Raut,28,116.67
Aditya Tare,12.5,138.89
Cameron White,24,145.45
Ryan Harris,11.25,115.38
Graeme Smith,22,112.82
Tillakaratne Dilshan,7.33,83.02
Adrian Barath,21,100
Ajit Agarkar,40,137.93
Amit Mishra,9.75,76.47
Michael Hussey,18.5,84.09
Laxmi Shukla,18,138.46
Eoin Morgan,11.67,116.67
Bodapati Sumanth,35,94.59
Aditya Dole,17,154.55
Venugopal Rao,8.5,79.07
Daniel Vettori,33,122.22
Sanath Jayasuriya,8.25,106.45
Farveez Maharoof,10.33,134.78
Srikkanth Anirudha,30,166.67
Ravichandran Ashwin,7.5,75
Chaminda Vaas,7.5,88.24
Rahul Sharma,9.67,111.54
Mitchell Marsh,14,93.33
Mohammad Kaif,9.33,93.33
Sridharan Sriram,27,93.1
S Sreesanth,-,128.57
Vinay Kumar,6.75,84.38
Justin Kemp,13,108.33
Zaheer Khan,24,184.62
Rajat Bhatia,8,141.18
Ashish Nehra,23,115
Murali Kartik,11,100
Chris Gayle,67.56,183.69
Virat Kohli,46.42,121.09
Sachin Tendulkar,42.54,113.32
Shaun Marsh,42,146.51
Michael Hussey,41,118.84
Paul Valthaty,35.62,136.98
Suresh Raina,31.29,134.77
Murali Vijay,27.12,128.02
Virender Sehwag,38.55,176.67
Jacques Kallis,35.33,112.17
Shikhar Dhawan,33.33,129.03
S Badrinath,56.57,126.52
Ambati Rayudu,28.21,112.86
MS Dhoni,43.67,159.11
Adam Gilchrist,27.36,129.83
Gautam Gambhir,34.36,119.24
Rohit Sharma,33.82,125.25
Manoj Tiwary,51.29,110.46
Kumar Sangakkara,27.54,122.18
Brendon McCullum,27.46,129.82
Rahul Dravid,31.18,109.24
Yuvraj Singh,34.3,131.42
Venugopal Rao,28,119.57
Shane Watson,33,130.43
David Warner,24.92,117.39
AB de Villiers,34.56,127.46
Mahela Jayawardene,23,116.34
