Name,Runs,c,d,e,f,g,h,i,SR,k,l,m,n,clustno
Michael Hussey,26,59,58,7,1977,116,38.76,1612,122.64,1,15,198,52,1
Dwayne Smith,29,64,63,3,1864,87,31.06,1411,132.1,0,15,195,92,1
Murali Vijay,16,100,100,5,2511,127,26.43,2035,123.39,2,13,237,89,1
Dinesh Karthik,15,138,121,14,2542,86,23.75,2046,124.24,0,12,256,60,1
Parthiv Patel,28,103,101,10,1927,81,21.17,1688,114.15,0,8,248,27,1
Virender Sehwag,12,104,104,5,2728,122,27.55,1755,155.44,2,16,334,106,1
Kieron Pollard,27,106,97,29,1958,78,28.79,1323,147.99,0,9,131,125,1
Kumar Sangakkara,32,71,68,3,1687,94,25.95,1392,121.19,0,10,195,27,1
Yusuf Pathan,11,134,122,32,2761,100,30.67,1881,146.78,1,12,230,140,1
Yuvraj Singh,19,108,105,13,2335,83,25.38,1795,130.08,0,10,174,133,1
Shaun Marsh,22,62,61,7,2213,115,40.98,1672,132.35,1,18,230,73,1
Rahul Dravid,23,89,82,5,2174,75,28.23,1882,115.51,0,11,269,28,1
Sachin Tendulkar,20,78,78,11,2334,100,34.83,1948,119.81,1,13,295,29,1
Ajinkya Rahane,13,95,89,13,2675,103,35.19,2212,120.93,1,23,285,51,1
JP Duminy,25,77,73,23,1993,78,39.86,1596,124.87,0,14,123,78,1
Shane Watson,14,94,91,13,2551,104,32.7,1813,140.7,2,14,251,121,1
Ambati Rayudu,21,109,102,18,2325,81,27.67,1837,126.56,0,13,198,76,1
Manish Pandey,30,89,83,13,1819,114,25.98,1536,118.42,1,7,169,52,1
Mahela Jayawardene,31,80,78,15,1802,110,28.6,1462,123.25,1,10,200,39,1
Jacques Kallis,18,98,96,11,2427,89,28.55,2222,109.22,0,17,255,44,1
Adam Gilchrist,24,80,80,4,2069,109,27.22,1495,138.39,2,11,239,92,1
Brendon McCullum,17,92,92,5,2434,158,27.97,1881,129.39,2,11,248,106,1
