Name,Runs,c,d,e,f,g,h,i,SR,k,l,m,n,clustno
Akshath Reddy,151,12,10,0,164,42,16.4,160,102.5,0,0,15,2,0
Shivil Kaushik,426,7,2,1,0,0,0,1,0,0,0,0,0,0
Ajantha Mendis,390,10,3,1,3,2,1.5,6,50,0,0,0,0,0
Azhar Bilakhia,220,7,7,2,69,22,13.8,85,81.17,0,0,5,0,0
Krishmar Santokie,446,2,0,0,0,0,0,0,0,0,0,0,0,0
R Bishnoi,309,3,3,0,19,18,6.33,17,111.76,0,0,1,2,0
Sachithra Senanayake,347,8,4,3,10,7,10,17,58.82,0,0,0,0,0
Travis Head,231,3,3,1,54,37,27,40,135,0,0,3,2,0
Michael Neser,423,1,0,0,0,0,0,0,0,0,0,0,0,0
Raju Bhatkal,434,1,1,0,0,0,0,2,0,0,0,0,0,0
Vijay Shankar,456,1,0,0,0,0,0,0,0,0,0,0,0,0
Asad Pathan,259,8,7,2,39,14,7.8,23,169.56,0,0,5,2,0
Ben Hilfenhaus,433,17,1,1,0,0,0,0,0,0,0,0,0,0
Aavishkar Salvi,441,7,0,0,0,0,0,0,0,0,0,0,0,0
Siddharth Trivedi,252,76,15,8,42,9,6,59,71.18,0,0,3,1,0
Ben Dunk,257,3,3,0,40,20,13.33,35,114.28,0,0,7,0,0
Damien Martyn,308,1,1,0,19,19,19,24,79.16,0,0,1,0,0
Sarfaraz Khan,147,18,12,6,177,45,29.5,102,173.52,0,0,19,6,0
Aiden Blizzard,181,7,7,0,120,51,17.14,90,133.33,0,1,21,2,0
Amit Yadav,240,8,6,1,49,16,9.8,39,125.64,0,0,5,2,0
Kyle Abbott,336,5,3,2,13,12,13,8,162.5,0,0,0,1,0
Mahesh Rawat,230,18,12,7,55,23,11,69,79.71,0,0,4,1,0
C Nanda,418,3,1,0,0,0,0,1,0,0,0,0,0,0
Mohammad Hafeez,301,8,3,1,20,13,10,22,90.9,0,0,2,1,0
Yo Mahesh,329,18,5,3,15,6,7.5,27,55.55,0,0,0,0,0
Abdur Razzak,459,1,1,1,0,0,0,2,0,0,0,0,0,0
Iqbal Abdulla,207,47,12,10,83,33,41.5,77,107.79,0,0,9,1,0
Jasprit Bumrah,356,31,5,4,9,6,9,14,64.28,0,0,1,0,0
RA Shaikh,455,1,0,0,0,0,0,0,0,0,0,0,0,0
Michael Klinger,218,4,4,0,73,29,18.25,77,94.8,0,0,9,0,0
Nikhil Naik,292,2,2,0,23,22,11.5,31,74.19,0,0,1,0,0
SS Shaikh,372,2,1,0,6,6,6,7,85.71,0,0,1,0,0
Ashok Dinda,314,75,16,7,19,6,2.11,41,46.34,0,0,1,0,0
Jayant Yadav,370,8,2,0,6,5,3,10,60,0,0,0,0,0
Misbah-ul-Haq,182,8,8,1,117,47,16.71,81,144.44,0,0,10,6,0
Abhishek Raut,140,22,16,7,194,36,21.55,167,116.16,0,0,13,7,0
Chris Jordan,389,9,1,0,3,3,3,4,75,0,0,0,0,0
Mitchell Starc,197,27,12,5,96,29,13.71,98,97.95,0,0,10,0,0
Harshal Patel,247,35,14,5,47,10,5.22,34,138.23,0,0,2,3,0
Muttiah Muralitharan,303,66,9,3,20,6,3.33,30,66.66,0,0,1,0,0
Yashpal Singh,243,8,4,0,47,20,11.75,66,71.21,0,0,5,0,0
Ankit Sharma,225,20,9,3,62,30,10.33,52,119.23,0,0,5,3,0
Marlon Samuels,165,10,10,1,132,46,14.66,141,93.61,0,0,8,5,0
Brett Geeves,458,2,0,0,0,0,0,0,0,0,0,0,0,0
C Madan,326,1,1,0,15,15,15,19,78.94,0,0,3,0,0
Ishwar Pandey,449,25,1,0,0,0,0,2,0,0,0,0,0,0
Jacob Oram,189,18,12,4,106,41,13.25,108,98.14,0,0,6,5,0
LA Carseldine,210,5,5,1,81,39,20.25,68,119.11,0,0,11,0,0
Mashrafe Mortaza,396,1,1,1,2,2,0,2,100,0,0,0,0,0
Ryan Ninan,393,2,1,0,3,3,3,6,50,0,0,0,0,0
Hardik Pandya,156,20,17,5,156,61,13,125,124.8,0,1,13,8,0
DNT Zoysa,346,3,2,1,11,10,11,9,122.22,0,0,1,0,0
Shane Warne,137,55,29,9,198,34,9.9,214,92.52,0,0,14,6,0
Shivam Sharma,374,5,2,1,5,4,5,3,166.66,0,0,1,0,0
Murugan Ashwin,424,10,1,0,0,0,0,1,0,0,0,0,0,0
Trent Boult,437,8,0,0,0,0,0,0,0,0,0,0,0,0
JM Kemp,285,5,2,0,26,22,13,24,108.33,0,0,1,1,0
Rishi Dhawan,159,26,17,10,153,25,21.85,135,113.33,0,0,13,4,0
Sarabjit Ladda,462,9,2,1,0,0,0,9,0,0,0,0,0,0
SM Harwood,357,3,2,2,9,6,0,14,64.28,0,0,0,0,0
Sunny Singh,248,6,5,1,43,20,10.75,31,138.7,0,0,6,1,0
Jaskaran Singh,360,8,5,4,8,4,8,11,72.72,0,0,0,0,0
Krishnakant Upadhyay,341,3,2,2,12,11,0,9,133.33,0,0,0,1,0
Nuwan Kulasekara,376,6,1,1,5,5,0,3,166.66,0,0,1,0,0
Pravin Tambe,316,33,6,4,18,7,9,39,46.15,0,0,1,0,0
