Name,Runs,c,d,e,f,g,h,i,SR,k,l,m,n,clustno
Axar Patel,98,45,30,8,379,42,17.22,311,121.86,0,0,23,17,3
Sanath Jayasuriya,66,30,30,2,768,114,27.42,532,144.36,1,4,84,39,3
Ryan ten Doeschate,106,29,22,8,326,70,23.28,235,138.72,0,1,26,15,3
Kedar Jadhav,77,51,44,18,626,63,24.07,476,131.51,0,2,47,23,3
Aditya Tare,108,32,25,4,321,59,15.28,250,128.4,0,1,37,11,3
George Bailey,76,40,37,10,663,61,24.55,544,121.87,0,2,59,19,3
Luke Pomersbach,111,17,16,5,302,79,27.45,246,122.76,0,1,25,13,3
Shreyas Iyer,88,20,20,1,469,83,24.68,385,121.81,0,4,43,22,3
Simon Katich,128,11,11,1,241,75,24.1,186,129.56,0,2,26,8,3
Andre Russell,79,34,25,3,574,66,26.09,331,173.41,0,3,48,37,3
Quinton de Kock,69,26,26,1,726,108,29.04,549,132.24,1,5,90,21,3
Piyush Chawla,82,123,68,27,513,24,12.51,447,114.76,0,0,49,15,3
Laxmi Ratan Shukla,93,47,34,7,405,48,15.0,350,115.71,0,0,33,16,3
Graeme Smith,67,29,29,3,739,91,28.42,668,110.62,0,4,94,9,3
Thisara Perera,90,37,30,8,422,40,19.18,307,137.45,0,0,23,26,3
Dwaraka Ravi Teja,100,32,25,6,375,60,19.73,317,118.29,0,1,35,9,3
Stuart Binny,73,72,51,19,688,48,21.5,528,130.3,0,0,53,26,3
Cheteshwar Pujara,96,30,22,3,390,51,20.52,391,99.74,0,1,50,4,3
Dan Christian,103,23,22,4,341,39,18.94,292,116.78,0,0,17,13,3
Krunal Pandya,129,12,9,3,237,86,39.5,124,191.12,0,1,22,13,3
James Faulkner,87,52,39,18,473,46,22.52,332,142.46,0,0,32,23,3
Azhar Mahmood,97,23,21,2,388,80,20.42,303,128.05,0,2,39,13,3
Jos Buttler,126,14,14,3,255,41,23.18,184,138.58,0,0,23,11,3
Angelo Mathews,71,46,40,11,692,65,23.86,548,126.27,0,1,42,28,3
Ashish Reddy,121,31,24,9,280,36,18.66,193,145.07,0,0,16,15,3
Praveen Kumar,104,113,57,20,336,34,9.08,306,109.8,0,0,23,17,3
Rajagopal Sathish,123,34,25,8,270,27,15.88,231,116.88,0,0,22,6,3
James Franklin,105,20,16,5,327,79,29.72,301,108.63,0,1,25,8,3
Hanuma Vihari,120,22,21,3,280,46,15.55,313,89.45,0,0,23,1,3
Yogesh Nagar,117,26,20,6,284,43,20.28,259,109.65,0,0,20,9,3
Paul Valthaty,85,23,23,1,505,120,22.95,418,120.81,1,2,61,20,3
Sunny Sohal,101,22,20,0,368,62,18.4,292,126.02,0,2,34,18,3
Lokesh Rahul,70,39,30,6,725,68,30.2,577,125.64,0,4,61,24,3
Moises Henriques,72,45,39,11,692,74,24.71,553,125.13,0,2,59,23,3
Michael Lumb,122,12,12,0,278,83,23.16,194,143.29,0,1,45,6,3
Shakib Al Hasan,86,42,31,8,497,66,21.6,381,130.44,0,2,44,15,3
Vinay Kumar,110,102,45,17,304,26,10.85,271,112.17,0,0,20,9,3
Ravi Bopara,80,24,22,4,531,84,29.5,453,117.21,0,3,39,16,3
Mark Boucher,95,31,24,10,394,50,28.14,309,127.5,0,1,32,13,3
Rajat Bhatia,107,92,47,18,326,26,11.24,267,122.09,0,0,24,12,3
Corey Anderson,99,16,15,3,379,95,31.58,278,136.33,0,3,32,21,3
Unmukt Chand,112,21,20,0,300,58,15.0,300,100.0,0,1,32,9,3
SA Asnodkar,89,20,20,0,423,60,21.15,339,124.77,0,2,56,10,3
Suryakumar Yadav,83,45,35,13,507,60,23.04,377,134.48,0,1,47,18,3
Gurkeerat Mann Singh,102,28,24,3,342,51,16.28,272,125.73,0,1,36,9,3
Tirumalasetti Suman,74,43,40,8,676,78,21.12,575,117.56,0,2,55,26,3
Karn Sharma,124,46,27,13,267,39,19.07,230,116.08,0,0,13,12,3
Johan Botha,92,34,28,8,409,67,20.45,359,113.92,0,1,39,5,3
Bharat Chipli,119,23,21,6,280,61,18.66,251,111.55,0,1,28,7,3
Darren Sammy,113,22,20,5,295,60,19.66,241,122.4,0,1,15,18,3
Amit Mishra,115,112,45,17,291,31,10.39,311,93.56,0,0,25,3,3
VVS Laxman,118,20,20,2,282,52,15.66,267,105.61,0,1,33,5,3
Mohnish Mishra,130,18,17,1,237,41,14.81,208,113.94,0,0,24,8,3
Chris Morris,116,39,20,13,285,82,40.71,171,166.66,0,1,18,17,3
Debabrata Das,109,31,22,8,304,35,21.71,261,116.47,0,0,23,16,3
Shreevats Goswami,127,23,16,1,241,52,16.06,251,96.01,0,1,26,2,3
Jesse Ryder,78,29,29,1,604,86,21.57,458,131.87,0,4,69,19,3
Manan Vohra,68,34,32,2,728,67,24.26,562,129.53,0,2,72,26,3
Owais Shah,84,23,22,7,506,76,33.73,389,130.07,0,4,34,23,3
Abhishek Nayar,75,60,50,12,672,45,17.68,577,116.46,0,0,55,20,3
James Hopes,91,21,19,3,417,71,26.06,306,136.27,0,4,49,11,3
Deepak Hooda,114,31,24,1,295,54,12.82,216,136.57,0,1,15,16,3
Mohammad Kaif,125,29,22,4,259,34,14.38,250,103.6,0,0,22,6,3
Ashok Menaria,94,29,23,2,401,40,19.09,356,112.64,0,0,24,18,3
Mithun Manhas,81,55,38,15,514,42,22.34,470,109.36,0,0,43,10,3
