Name,Runs,c,d,e,f,g,h,i,SR,k,l,m,clustno
Harmeet Singh Bansal,79,27,26,84.3,674,25,3/24,26.96,7.97,20.28,0,0,3
Dilhara Fernando,102,10,10,39,298,17,4/18,17.52,7.64,13.76,1,0,3
Joginder Sharma,129,16,15,42.4,419,12,2/27,34.91,9.82,21.33,0,0,3
Chris Gayle,97,92,37,91.3,724,18,3/21,40.22,7.91,30.5,0,0,3
Juan Theron,147,10,10,36,293,9,2/17,32.55,8.13,24,0,0,3
Yo Mahesh,88,18,17,56.3,499,21,4/36,23.76,8.83,16.14,1,0,3
Brad Hodge,103,66,20,39,303,17,4/13,17.82,7.76,13.76,1,0,3
Abhimanyu Mithun,171,16,16,48,472,7,2/37,67.42,9.83,41.14,0,0,3
Dimitri Mascarenhas,91,13,13,51.2,356,19,5/25,18.73,6.93,16.21,0,1,3
Doug Bollinger,50,27,27,96,693,37,4/13,18.72,7.21,15.56,1,0,3
MF Maharoof,73,20,20,70,520,27,3/34,19.25,7.42,15.55,0,0,3
Ankeet Chavan,157,13,13,41.2,326,8,2/23,40.75,7.88,31,0,0,3
Roelof van der Merwe,86,21,21,73.5,498,21,3/20,23.71,6.74,21.09,0,0,3
Tillakaratne Dilshan,193,52,25,45.1,366,5,1/7,73.2,8.1,54.2,0,0,3
Ashish Reddy,106,31,19,40.4,364,17,3/25,21.41,8.95,14.35,0,0,3
Trent Boult,138,8,8,32,275,10,3/19,27.5,8.59,19.2,0,0,3
Bipul Sharma,113,26,21,54.4,443,14,2/13,31.64,8.1,23.42,0,0,3
Pawan Negi,114,29,24,72,591,14,4/18,42.21,8.2,30.85,1,0,3
Venugopal Rao,184,65,20,36,337,6,2/23,56.16,9.36,36,0,0,3
Brad Hogg,82,21,21,76.2,570,23,4/29,24.78,7.46,19.91,1,0,3
Darren Sammy,134,22,19,39.2,350,11,4/22,31.81,8.89,21.45,1,0,3
Bhargav Bhatt,124,17,15,49.2,397,12,4/22,33.08,8.04,24.66,1,0,3
Andrew Symonds,89,39,30,87.5,674,20,3/21,33.7,7.67,26.35,0,0,3
Karanveer Singh,128,9,9,34,321,12,4/54,26.75,9.44,17,1,0,3
Ajantha Mendis,153,10,10,40,285,8,2/19,35.62,7.12,30,0,0,3
Jagadeesha Suchith,140,14,13,41,368,10,2/14,36.8,8.97,24.6,0,0,3
Parveez Rasool,207,11,11,33,271,4,1/20,67.75,8.21,49.5,0,0,3
Sudeep Tyagi,181,14,14,34.5,295,6,2/18,49.16,8.46,34.83,0,0,3
Ankit Sharma,123,20,19,59.1,423,12,2/20,35.25,7.14,29.58,0,0,3
Syed Mohammad,160,11,11,32,283,8,2/15,35.37,8.84,24,0,0,3
Shaun Pollock,131,13,13,46,301,11,3/12,27.36,6.54,25.09,0,0,3
David Wiese,107,15,14,46.2,402,16,4/33,25.12,8.67,17.37,1,0,3
Ben Hilfenhaus,85,17,17,62,479,22,3/27,21.77,7.72,16.9,0,0,3
Abhishek Nayar,149,60,19,38.1,322,9,3/13,35.77,8.43,25.44,0,0,3
Ali Murtaza,142,12,12,44,313,9,3/15,34.77,7.11,29.33,0,0,3
Sohail Tanvir,84,11,11,41.1,266,22,6/14,12.09,6.46,11.22,1,1,3
Siddarth Kaul,182,11,11,34.5,296,6,2/27,49.33,8.49,34.83,0,0,3
Ravi Bopara,133,24,14,34.2,292,11,3/31,26.54,8.5,18.72,0,0,3
Glenn McGrath,121,14,14,54,357,12,4/29,29.75,6.61,27,1,0,3
Jesse Ryder,156,29,16,39.2,303,8,2/14,37.87,7.7,29.5,0,0,3
Ishwar Pandey,95,25,24,77,591,18,2/23,32.83,7.67,25.66,0,0,3
Pankaj Singh,136,20,17,50,468,11,2/18,42.54,9.36,27.27,0,0,3
Azhar Mahmood,66,23,23,89.3,700,29,3/20,24.13,7.82,18.51,0,0,3
Kane Richardson,98,14,14,52.5,443,18,3/13,24.61,8.38,17.61,0,0,3
Sanath Jayasuriya,120,30,21,49,390,13,3/14,30,7.95,22.61,0,0,3
Hardik Pandya,214,20,18,33.4,329,4,1/7,82.25,9.77,50.5,0,0,3
Nathan Coulter-Nile,87,18,17,65.3,491,21,4/20,23.38,7.49,18.71,1,0,3
Shaun Tait,83,21,21,78.5,640,23,3/13,27.82,8.11,20.56,0,0,3
Dan Christian,92,23,23,78.4,638,19,2/13,33.57,8.11,24.84,0,0,3
Alfonso Thomas,112,15,15,52.3,406,14,3/22,29,7.73,22.5,0,0,3
Stuart Binny,101,72,53,84,631,17,2/14,37.11,7.51,29.64,0,0,3
Abu Nechim,170,10,10,35.2,303,7,2/27,43.28,8.57,30.28,0,0,3
Chaminda Vaas,94,13,13,47,355,18,3/21,19.72,7.55,15.66,0,0,3
Veer Pratap Singh,139,9,9,34,296,10,2/31,29.6,8.7,20.4,0,0,3
Amit Singh,72,23,23,78.5,620,28,4/19,22.14,7.86,16.89,1,0,3
Mitchell Starc,56,27,26,96.4,693,34,4/15,20.38,7.16,17.05,1,0,3
Imran Tahir,67,20,20,72.2,623,29,4/28,21.48,8.61,14.96,1,0,3
Mitchell Marsh,90,20,18,52.3,414,20,4/25,20.7,7.88,15.75,1,0,3
Barinder Sran,115,15,15,52.3,448,14,3/28,32,8.53,22.5,0,0,3
Laxmi Ratan Shukla,109,48,27,52.2,447,15,3/6,29.8,8.54,20.93,0,0,3
Anureet Singh,105,19,18,62.4,555,17,3/23,32.64,8.85,22.11,0,0,3
Jason Holder,194,11,11,36,306,5,2/20,61.2,8.5,43.2,0,0,3
Ryan McLaren,127,18,18,59,542,12,2/28,45.16,9.18,29.5,0,0,3
Rohit Sharma,108,142,30,55.2,440,15,4/6,29.33,7.95,22.13,1,0,3
Dwayne Smith,104,64,23,48,419,17,4/8,24.64,8.72,16.94,1,0,3
David Hussey,161,64,26,52.5,474,8,2/2,59.25,8.97,39.62,0,0,3
Shalabh Srivastava,117,14,14,47,441,14,2/20,31.5,9.38,20.14,0,0,3
VRV Singh,126,19,18,60,542,12,3/29,45.16,9.03,30,0,0,3
Jacob Oram,151,18,13,37.3,336,9,3/32,37.33,8.96,25,0,0,3
KP Appanna,146,14,13,36,286,9,4/19,31.77,7.94,24,1,0,3
James Hopes,116,21,20,60,548,14,2/2,39.14,9.13,25.71,0,0,3
Virat Kohli,212,139,26,41.5,368,4,2/25,92,8.79,62.75,0,0,3
Wayne Parnell,75,26,26,95.2,701,26,3/27,26.96,7.35,22,0,0,3
Sourav Ganguly,137,59,20,46,363,10,2/21,36.3,7.89,27.6,0,0,3
Mohammad Asif,162,8,8,32,296,8,2/19,37,9.25,24,0,0,3
YA Abdulla,110,11,11,34.5,307,15,4/31,20.46,8.81,13.93,2,0,3
Ravi Rampaul,111,12,12,43.4,298,14,3/31,21.28,6.82,18.71,0,0,3
Glenn Maxwell,216,43,25,35,354,4,1/5,88.5,10.11,52.5,0,0,3
Scott Styris,155,12,11,36,276,8,3/32,34.5,7.66,27,0,0,3
Mustafizur Rahman,100,16,16,61,421,17,3/16,24.76,6.9,21.52,0,0,3
Ramesh Powar,119,27,26,71,527,13,2/11,40.53,7.42,32.76,0,0,3
Rishi Dhawan,96,26,25,81.2,640,18,2/14,35.55,7.86,27.11,0,0,3
DJ Muthuswami,22,22,425,532,22,11,3/33,24.18,7.51,19.3,0,0,0
