Name,Runs,c,d,e,f,g,h,i,SR,k,l,m,clustno
Kuldeep Yadav,179,3,3,12,100,6,3/35,16.66,8.33,12,0,0,1
LA Carseldine,255,5,1,1,6,1,0/0,6,6,6,0,0,1
Robin Peterson,226,5,4,8,70,3,3/37,23.33,8.75,16,0,0,1
Samuel Badree,238,5,5,18,131,2,1/19,65.5,7.27,54,0,0,1
Love Ablish,230,3,3,7,75,3,2/17,25,10.71,14,0,0,1
Corey Anderson,197,16,11,22,217,5,2/18,43.4,9.86,26.4,0,0,1
Jaskaran Singh,185,8,7,17,171,6,2/18,28.5,10.05,17,0,0,1
GR Napier,259,1,1,4,27,1,1/27,27,6.75,24,0,0,1
Manoj Tiwary,282,78,5,6,73,1,0/0,73,12.16,36,0,0,1
Vikramjeet Malik,175,13,13,34.1,261,6,2/14,43.5,7.63,34.16,0,0,1
D du Preez,204,2,2,7,56,4,3/32,14,8,10.5,0,0,1
Deepak Hooda,205,31,13,28.1,226,4,2/16,56.5,8.02,42.25,0,0,1
LPC Silva,328,3,1,1,21,0,0/0,0,21,0,0,0,1
Mohammad Hafeez,253,8,2,5,24,1,1/8,24,4.8,30,0,0,1
Sean Abbott,310,2,2,5,57,0,0/0,0,11.4,0,0,0,1
Colin Munro,293,4,2,2,15,0,0/0,0,7.5,0,0,0,1
Abhishek Jhunjhunwala,266,21,10,14.1,129,1,1/13,129,9.1,85,0,0,1
Domnic Joseph,202,6,6,14,101,4,2/18,25.25,7.21,21,0,0,1
Sarabjit Ladda,196,9,9,23,224,5,2/44,44.8,9.73,27.6,0,0,1
Gajendra Singh,229,4,4,14,141,3,1/33,47,10.07,28,0,0,1
Paul Valthaty,167,23,10,25.1,205,7,4/29,29.28,8.14,21.57,1,0,1
C Nanda,236,3,3,8,57,2,1/4,28.5,7.12,24,0,0,1
TP Sudhindra,281,3,3,11.4,136,1,1/46,136,11.65,70,0,0,1
Makhaya Ntini,163,9,9,35,242,7,4/21,34.57,6.91,30,1,0,1
Asad Pathan,305,8,3,6.3,63,0,0/0,0,9.69,0,0,0,1
Rahul Shukla,199,7,7,20,208,5,2/28,41.6,10.4,24,0,0,1
P Parameswaran,210,5,5,15.4,137,4,2/20,34.25,8.74,23.5,0,0,1
Raju Bhatkal,324,1,1,2,35,0,0/35,0,17.5,0,0,0,1
Yogesh Nagar,217,26,8,11,125,4,2/20,31.25,11.36,16.5,0,0,1
Suraj Randiv,176,8,8,29,223,6,2/24,37.16,7.68,29,0,0,1
Murugan Ashwin,169,10,10,28.3,241,7,3/36,34.42,8.45,24.42,0,0,1
Sumit Narwal,200,7,6,17.4,202,5,3/36,40.4,11.43,21.2,0,0,1
Anand Rajan,158,8,8,24.5,201,8,3/27,25.12,8.09,18.62,0,0,1
Doug Bracewell,224,1,1,4,32,3,3/32,10.66,8,8,0,0,1
Kevin Pietersen,164,36,13,29,215,7,2/31,30.71,7.41,24.85,0,0,1
VS Yeligati,311,2,2,5,59,0,0/0,0,11.8,0,0,0,1
Rahul Tewatia,222,4,4,12,90,3,1/17,30,7.5,24,0,0,1
Chris Jordan,135,9,9,28,258,11,4/11,23.45,9.21,15.27,1,0,1
Pat Cummins,241,4,4,14,126,2,1/29,63,9,42,0,0,1
RA Shaikh,309,1,1,1,11,0,0/11,0,11,0,0,0,1
Gurkeerat Mann Singh,189,28,6,13,97,5,2/15,19.4,7.46,15.6,0,0,1
