Name,Runs,c,d,e,f,g,h,i,SR,k,l,m,clustno
Lasith Malinga,1,98,98,381.3,2546,143,5/13,17.8,6.67,16.0,4,1,0
Ravichandran Ashwin,7,111,108,381.4,2500,100,4/34,25.0,6.55,22.9,1,0,0
Albie Morkel,15,91,87,287.1,2359,85,4/32,27.75,8.21,20.27,1,0,0
Vinay Kumar,6,102,101,346.4,2870,101,4/40,28.41,8.27,20.59,1,0,0
Zaheer Khan,10,89,88,326.3,2469,92,4/17,26.83,7.56,21.29,1,0,0
Ashish Nehra,8,82,82,296.5,2298,98,4/10,23.44,7.74,18.17,1,0,0
Umesh Yadav,22,80,79,273.5,2297,74,4/24,31.04,8.38,22.2,1,0,0
Harbhajan Singh,5,125,123,445.3,3119,119,5/18,26.21,7.0,22.46,1,1,0
Pragyan Ojha,12,92,90,316.3,2332,89,3/11,26.2,7.36,21.33,0,0,0
Jacques Kallis,29,98,89,290.2,2293,65,3/13,35.27,7.89,26.8,0,0,0
RP Singh,11,82,82,295.5,2338,90,4/22,25.97,7.9,19.72,2,0,0
Dwayne Bravo,3,106,103,336.2,2754,122,4/22,22.57,8.18,16.54,2,0,0
Amit Mishra,2,112,112,401.0,2918,124,5/17,23.53,7.27,19.4,3,1,0
Dale Steyn,9,90,90,343.0,2306,92,3/8,25.06,6.72,22.36,0,0,0
Irfan Pathan,18,102,100,338.3,2623,80,3/24,32.78,7.74,25.38,0,0,0
Piyush Chawla,4,123,122,407.1,3082,120,4/17,25.68,7.56,20.35,2,0,0
Praveen Kumar,16,113,113,404.1,3100,84,3/18,36.9,7.67,28.86,0,0,0
