team1,team2
David Warner,Rohit Sharma
Shikhar Dhawan,Axar Patel
Moises Henriques,Ambati Rayudu
Pragyan Ojha,Krunal Pandya
Eoin Morgan,Kieron Pollard
Karn Sharma,Jos Buttler
Mustafizur Rahman,Hardik Pandya
Deepak Hooda,Harbhajan Singh
Angelo Mathews,Jasprit Bumrah
Ashish Reddy,Mitchell McClenaghan
Ashish Nehra,Tim Southee
