team1,team2
David Warner,Robin Uthappa
Shikhar Dhawan,Gautam Gambhir
Moises Henriques,Yusuf Pathan
Pragyan Ojha,Manish Pandey
Eoin Morgan,Rajagopal Sathish
Karn Sharma,Andre Russell
Mustafizur Rahman,Shakib Al Hasan
Deepak Hooda,Sunil Narine
Angelo Mathews,Piyush Chawla
Ashish Reddy,Umesh Yadav
Ashish Nehra,Morne Morkel
