team1,team2
Rohit Sharma,Robin Uthappa
Axar Patel,Gautam Gambhir
Ambati Rayudu,Yusuf Pathan
Krunal Pandya,Manish Pandey
Kieron Pollard,Rajagopal Sathish
Jos Buttler,Andre Russell
Hardik Pandya,Shakib Al Hasan
Harbhajan Singh,Sunil Narine
Jasprit Bumrah,Piyush Chawla
Mitchell McClenaghan,Umesh Yadav
Tim Southee,Morne Morkel
