team1,team2
David Warner,Chris Gayle
Shikhar Dhawan,Virat Kohli
Moises Henriques,AB de Villiers
Pragyan Ojha,Lokesh Rahul
Eoin Morgan,Shane Watson
Karn Sharma,Stuart Binny
Mustafizur Rahman,Sreenath Aravind
Deepak Hooda,Chris Jordan
Angelo Mathews,Yuzvendra Chahal
Ashish Reddy,Iqbal Abdulla
Ashish Nehra,Vikramjeet Malik
