team1,team2
Chris Gayle,Rohit Sharma
Virat Kohli,Axar Patel
AB de Villiers,Ambati Rayudu
Lokesh Rahul,Krunal Pandya
Shane Watson,Kieron Pollard
Stuart Binny,Jos Buttler
Sreenath Aravind,Hardik Pandya
Chris Jordan,Harbhajan Singh
Yuzvendra Chahal,Jasprit Bumrah
Iqbal Abdulla,Mitchell McClenaghan
Vikramjeet Malik,Tim Southee
